Username,Forum Profile,Vendor Profile,Date Registered,Last Active,Signature,Personal Text,Custom Title,Location,Posts,Karma
goblin,14639,d92e1f8a28,2012/03/16 02:54,2013/10/06 14:58,"""During times of universal deceit, telling the truth becomes a 
revolutionary act."" - George Orwell

Birgitta Jónsdóttir - One of my heroines: antiwar and social justice 
activist, poet, artist, member of Icelandic Althing (Parliament)

Mushrooms http://silkroadvb5piz3r.onion/silkroad/user/d92e1f8a28",Chávez lives - on with the revolution!,N/A,N/A,877 (1.536 per day),+111/-50
Sugarkane,32779,a77be6e5c9,2012/08/31 02:06,2013/08/22 18:27,"Vendor page: 
http://silkroadvb5piz3r.onion/index.php/silkroad/user/a77be6e5c9


Cocaine Lab Test Results:
http://dkn255hz262ypmii.onion/index.php?topic=108950.msg839975#msg839975","Quality hi-heat Coke n Crack, Pills ,MDMA ,Meth",N/A,N/A,87 (0.216 per day),+8/-1
italiano,25367,42602b5e35,2012/06/30 12:19,2013/04/26 01:06,"SR Vendor Profile: http://silkroadvb5piz3r.onion/silkroad/user/42602b5e35

Seller's of HQ Peruvian flakes coke !!",I have a secret to say: Im Obi-Wan Kenobi !!,N/A,Silk road street #1,348 (0.748 per day),+23/-4
irongut,59478,N/A,2013/03/22 01:54,2013/09/25 05:28,silkroadvb5piz3r.onion/silkroad/user/2acf3f39f7,N/A,N/A,kalifornia,6 (0.030 per day),+0/-1
Sukey,45090,N/A,2012/12/05 16:39,N/A,http://5onwnspjvuk7cwvk.onion/index.php?p=viewUser&id=310997,N/A,N/A,N/A,266 (0.866 per day),+28/-12
Bamann,13891,acec292329,2012/03/08 00:35,2013/10/06 19:18,"Weed.  Coke.  Xanax.  Whatever.

SR Vendor Profile - http://silkroadvb5piz3r.onion/silkroad/user/acec292329

Cheap Weed - http://silkroadvb5piz3r.onion/silkroad/item/ce125c8a97",N/A,N/A,N/A,106 (0.183 per day),+9/-3
FredsFarms,41034,73fc815e1c,2012/11/08 01:43,N/A,Cheap Mexican Mids - http://silkroadvb5piz3r.onion/silkroad/user/73fc815e1c,Pot Dealer,N/A,Down On The Border,53 (0.159 per day),+5/-0
happyhippy,2043,11438,2011/08/08 19:39,2013/10/03 22:10,http://silkroadvb5piz3r.onion/index.php/silkroad/user/11438,"Yes sir I can boogie , I can boogie all night long",N/A,Third star on the right then straight on till morning,121 (0.153 per day),+10/-6
k1llin,64887,9550ca5b25,2013/04/19 02:28,2013/10/02 17:06,"Are You Not Entertained?!

My Vendor page: http://silkroadvb5piz3r.onion/silkroad/user/9550ca5b25",LSD Vendor,N/A,N/A,151 (0.878 per day),+7/-13
DrGreenfingers,35017,2514d8497b,2012/09/18 20:08,2013/10/06 23:53,"_____________________________________________________
http://silkroadvb5piz3r.onion/index.php/silkroad/user/2514d8497b

Dr Greenfingers states it is time for your medication!",N/A,N/A,N/A,44 (0.114 per day),+7/-5
UK Stealth,28268,N/A,2012/07/26 23:06,2013/10/04 19:34,N/A,N/A,N/A,Planet Earth,182 (0.416 per day),+10/-12
NorCalKing,20146,2877098b49,2012/05/09 14:29,2013/09/26 20:10,"NCK
http://silkroadvb5piz3r.onion/silkroad/user/2877098b49",N/A,N/A,N/A,561 (1.085 per day),+48/-9
FauxyDocs,69448,77da159d57,2013/05/11 00:34,N/A,Member Profile: http://silkroadvb5piz3r.onion/silkroad/user/77da159d57,N/A,N/A,N/A,32 (0.213 per day),+4/-17
BlueViking,37349,6ed3551483,2012/10/08 04:48,2013/10/04 09:26,"Vendor Profile-BlueViking
http://silkroadvb5piz3r.onion/silkroad/user/6ed3551483

Official Review Thread
http://dkn255hz262ypmii.onion/index.php?topic=151873.0",N/A,N/A,N/A,95 (0.260 per day),+11/-1
MarcelKetman,37109,N/A,2012/10/05 16:46,N/A,http://sheep5u64fi457aw.onion/account/profile/a2a0f079cbb68a7353966436c4f8b2dc,N/A,N/A,N/A,487 (1.323 per day),+40/-7
SpotSupply,42815,592df27784,2012/11/18 22:22,2013/09/20 01:37,"********************************************
My Vendor Page: http://silkroadvb5piz3r.onion/silkroad/user/592df27784",N/A,N/A,United States,61 (0.188 per day),+2/-1
GreenAndroid,83556,db3f21b4f9,2013/08/06 19:58,2013/08/06 20:16,"Visit our vendor site on SR:

http://silkroadvb5piz3r.onion/silkroad/user/db3f21b4f9",N/A,N/A,Netherlands,1 (0.016 per day),+0/-0
Chronic Crew,21557,2368634689,2012/05/24 16:40,2013/10/05 18:14,"FIND US HERE ON THE SILK ROAD
http://silkroadvb5piz3r.onion/silkroad/user/2368634689
MONEYPAK/BTC when funds are available
 message on-site for details.

OFF SITE CONTACT if site is down
cctracking@tormail.org",SPECIALIZING IN BHO & A+++ MEDICAL GRADE CANNABIS,N/A,in a State of Bliss,265 (0.528 per day),+26/-3
Litescape,33387,3d01889abc,2012/09/05 07:17,2013/10/06 00:39,"Check out my products!
http://silkroadvb5piz3r.onion/silkroad/user/3d01889abc",N/A,N/A,N/A,64 (0.161 per day),+1/-0
BigBill6778,9988,N/A,2012/01/29 17:58,2013/06/24 05:58,"May Everyone Here Stay True To Their Values & Prosper
Total transactions: 41
Total spent: $17864.52
Refund rate: 0.51%
Auto-finalize rate: 0%
Member for: 8 months
BigBill6778","""Heaven"" Oh I Found Heaven",N/A,Canada,667 (1.079 per day),+35/-20
TheOxyOrb,72057,f6090f16f7,2013/05/29 03:27,2013/06/05 07:38,"OxyOrb SR Vendor Profile-

 http://silkroadvb5piz3r.onion/silkroad/user/f6090f16f7",N/A,N/A,Australia,4 (0.030 per day),+0/-1
fantastiqfox,62680,eafdcd06ea,2013/04/07 13:56,N/A,"US domestic reseller of top quality MDMA!!
Vendor: http://silkroadvb5piz3r.onion/silkroad/user/eafdcd06ea
Forum: http://dkn255hz262ypmii.onion/index.php?topic=151656",N/A,N/A,N/A,80 (0.435 per day),+2/-3
CapeCrusader,29451,c5e6d57e98,2012/08/04 22:29,2013/10/03 15:13,Vendor page => http://silkroadvb5piz3r.onion/silkroad/user/c5e6d57e98,N/A,N/A,N/A,126 (0.294 per day),+55/-1
postrex,80674,cbbf1f4947,2013/07/21 04:04,2013/10/04 01:19,"Purveyors of pharmaceuticals and discount goods.
-postrex vendor services-
Vendor Account: http://silkroadvb5piz3r.onion/silkroad/user/cbbf1f4947
Review Thread: http://dkn255hz262ypmii.onion/index.php?topic=189960.0
Current Promotions: http://dkn255hz262ypmii.onion/index.php?topic=191849.0",N/A,N/A,N/A,248 (3.139 per day),+13/-3
mrshah,11640,e702b27c8b,2012/02/13 15:45,2013/08/18 08:29,My vendor profile: http://silkroadvb5piz3r.onion/silkroad/user/e702b27c8b,N/A,N/A,N/A,96 (0.159 per day),+5/-5
PharmerJohn,10504,e1497646d1,2012/02/03 08:40,2013/02/05 20:51,"SR Vendor Page: http://silkroadvb5piz3r.onion/silkroad/user/e1497646d1

Vendor Review Thread: http://dkn255hz262ypmii.onion/index.php?topic=16391.0",N/A,N/A,N/A,162 (0.264 per day),+17/-7
ForeverStrung,35398,05368b4fba,2012/09/21 17:36,2013/10/02 14:53,"SR Vendor Page:
http://silkroadvb5piz3r.onion/index.php/silkroad/user/05368b4fba

Domestic MDMA and Top Shelf BHO
http://dkn255hz262ypmii.onion/index.php?topic=182308.0",N/A,N/A,N/A,118 (0.309 per day),+6/-4
HighGradeDelivery,67944,4508517620,2013/05/03 04:39,2013/07/31 23:22,"HighGradeDelivery has nugs of outstanding fire at some of the lowest prices 
on quality buds shipped within the United States!

A link to my profile page:
http://silkroadvb5piz3r.onion/silkroad/user/4508517620",The best quality nugs available on Silk Road!,N/A,United States of America,69 (0.437 per day),+14/-6
SnowWerks,20373,d9db2a909b,2012/05/11 19:07,2012/07/26 01:56,"Check us out!
http://silkroadvb5piz3r.onion/silkroad/user/d9db2a909b",N/A,N/A,N/A,68 (0.132 per day),+7/-1
legalbudz,31028,1ce50f8a51,2012/08/17 01:10,2013/06/11 22:56,"Vendor account:
http://silkroadvb5piz3r.onion/silkroad/user/1ce50f8a51

Vendor review thread:
http://dkn255hz262ypmii.onion/index.php?topic=42382.0",SR VENDOR YEAR++++,N/A,USA,110 (0.264 per day),+5/-2
HEADSHOP,28216,e22a5ec917,2012/07/26 13:46,2013/10/01 23:11,"SPREADING THE LOVE...  

Become a fan / Link to SR HEADSHOP Page:    
http://silkroadvb5piz3r.onion/index.php/silkroad/user/e22a5ec917

REVIEW & OFFERS THREAD:   
http://dkn255hz262ypmii.onion/index.php?topic=193720.msg1397061#msg1397",UK based SR Vendor,N/A,UK,177 (0.403 per day),+20/-16
modziw,36936,N/A,2012/10/04 02:08,N/A,"Quote from: HJAnslinger on December 08, 2012, 04:42 am

One piece of advice I can give everyone is to never NEVER talk to the cops. 
Always ask for a lawyer. If people didn't talk, we would have solved a lot 
less cases.

former prosecutor on SR Forums",★★★ Go DPR Go! ★★★,N/A,Looking in your back window.,612 (1.659 per day),+102/-21
DreamWeaver,16289,23f02a869f,2012/04/02 20:42,2013/10/04 09:17,"""Those willing to give up Liberty for Security deserve neither and will 
lose Both"" - B.Franklin

""I can't help that I care so much, sue me!"" - Me

My Vendors Page: http://silkroadvb5piz3r.onion/silkroad/user/23f02a869f
Review Topic: http://dkn255hz262ypmii.onion/index.php?topic=89754.0",N/A,N/A,N/A,5 (0.009 per day),+0/-0
WinstonWolfe,14389,2a82d4e723,2012/03/13 02:52,N/A,"http://silkroadvb5piz3r.onion/silkroad/user/2a82d4e723
http://dkn255hz262ypmii.onion/index.php?topic=15287.0",You're sending the wolf?That's all you had to say!,N/A,The US of A,139 (0.242 per day),+7/-5
vaperchick,6814,107219,2011/12/10 07:10,2012/11/14 14:56,"Electronic Cigarettes  - 
http://silkroadvb5piz3r.onion/index.php/silkroad/user/107219",Vape on!,N/A,N/A,5 (0.007 per day),+0/-1
Flyfelix,44974,N/A,2012/12/04 20:54,N/A,N/A,N/A,N/A,N/A,13 (0.042 per day),+0/-0
sk0rt,71005,35caceeea4,2013/05/21 06:34,2013/09/17 20:43,"Vendor account: http://silkroadvb5piz3r.onion/silkroad/user/35caceeea4
GnuPG public key: 
http://dkn255hz262ypmii.onion/index.php?topic=107219.msg1179385#msg1179385",Diaz Vendor,N/A,UK,120 (0.857 per day),+5/-4
Xander7,17206,53bdd9e740,2012/04/12 15:12,2013/04/24 03:20,http://silkroadvb5piz3r.onion/silkroad/user/53bdd9e740,N/A,N/A,N/A,175 (0.322 per day),+8/-1
ItalianMafiaBrussels,51183,N/A,2013/01/19 02:40,2013/10/07 23:00,"!! IMPORTANT NOTICE: You can contact us now on 
italianmafiabrussels@secure-mail.biz

! Secondary e-mail (if previous ever goes down): 
italianmafiabrussels@safe-mail.net

Sheep Market: ItalianMafiaBrussels

MDMA REVIEWS: 
http://dkn255hz262ypmii.onion/index.php?topic=119894.msg1220234#msg1220234",N/A,N/A,Belgium,240 (0.916 per day),+31/-18
MDUK,53507,53909a1737,2013/02/04 01:55,2013/06/01 17:21,"Top quality MDMA gel caps + More goodies coming soon. Discounts for PGP 
users!

SR: http://silkroadvb5piz3r.onion/silkroad/user/53909a1737
Forum thread: http://dkn255hz262ypmii.onion/index.php?topic=125682
BMR: http://5onwnspjvuk7cwvk.onion/index.php?p=viewUserListings&id=161346",N/A,N/A,N/A,385 (1.565 per day),+26/-24
Xennek,58455,d23e36060b,2013/03/15 05:33,2013/08/20 16:29,http://silkroadvb5piz3r.onion/silkroad/user/d23e36060b,Looking forward to your order...,N/A,N/A,120 (0.580 per day),+4/-8
Chopperos,5919,N/A,2011/11/23 10:41,2013/08/30 14:13,N/A,N/A,N/A,N/A,74 (0.108 per day),+7/-1
Smiletabs,5041,d43863b6ff,2011/11/01 00:55,2013/09/29 04:49,"Link to my vendors page:
http://silkroadvb5piz3r.onion/silkroad/user/d43863b6ff",N/A,N/A,N/A,146 (0.207 per day),+5/-8
tragicallyhip,64234,9b38f46549,2013/04/15 05:09,2013/09/12 03:03,"My Vendor Profile:
http://silkroadvb5piz3r.onion/silkroad/user/9b38f46549",N/A,N/A,N/A,166 (0.943 per day),+11/-10
mollyexpress,57838,7c6e75ead8,2013/03/07 19:12,2013/10/05 01:59,"- MollyExpress

My Vendor Page - http://silkroadvb5piz3r.onion/silkroad/user/7c6e75ead8
Official Review Thread - 
http://dkn255hz262ypmii.onion/index.php?topic=130465.0",N/A,N/A,N/A,138 (0.642 per day),+3/-5
buycoins,12497,0072e36db2,2012/02/22 22:35,2013/05/19 05:49,http://silkroadvb5piz3r.onion/silkroad/user/0072e36db2,N/A,N/A,N/A,58 (0.098 per day),+0/-2
BMG,74688,c167f27f29,2013/06/14 01:03,2013/10/01 12:49,http://silkroadvb5piz3r.onion/silkroad/user/c167f27f29,N/A,N/A,N/A,63 (0.543 per day),+1/-3
organicx,12388,e74e013a20,2012/02/21 23:40,2012/06/12 08:50,"OrganicX
Vendor profile: http://silkroadvb5piz3r.onion/silkroad/user/e74e013a20
BTC: 1Nccu4DcMkxqD82kGFQbskEietbcPRzvtg",N/A,N/A,N/A,53 (0.089 per day),+2/-1
Candyman,505,89fd342ae4,2011/06/21 07:53,N/A,"http://silkroadvb5piz3r.onion/silkroad/user/89fd342ae4

SR User # 170",N/A,N/A,N/A,416 (0.495 per day),+11/-11
Dolla4BTC,70076,9cb940d031,2013/05/15 02:37,2013/08/26 19:40,http://silkroadvb5piz3r.onion/silkroad/user/9cb940d031,N/A,N/A,N/A,8 (0.055 per day),+0/-1
UK107,2121,5ae12bd184,2011/08/11 18:20,2013/10/03 12:51,"SR Profile: http://silkroadvb5piz3r.onion/silkroad/user/5ae12bd184

Merely a convenience of geography and supply.",N/A,N/A,N/A,74 (0.094 per day),+3/-2
greenworks,54417,1d779eae5b,2013/02/10 06:33,2013/09/12 23:00,http://silkroadvb5piz3r.onion/silkroad/user/1d779eae5b,N/A,N/A,N/A,61 (0.254 per day),+1/-0
MethylonDE,21550,a93de250b0,2012/05/24 14:52,N/A,http://silkroadvb5piz3r.onion/silkroad/user/a93de250b0,N/A,N/A,Germany,51 (0.102 per day),+0/-0
fuckingACE,27514,N/A,2012/07/20 09:29,2013/10/07 01:47,"BMR VENDOR ACCOUNT! GETTING LISTINGS UP
BOOKMARK ME
http://5onwnspjvuk7cwvk.onion/index.php?p=viewUser&id=135255",Carpe Diem,N/A,Europe,1159 (2.604 per day),+142/-64
poundsign,19586,81b5b10236,2012/05/03 16:36,2012/12/20 04:00,"-- I aim to be one of SR's most reliable, trustworthy, and responsible 
seller.  If you can think of a way I can improve please let me know!  If 
not, let others know --

http://silkroadvb5piz3r.onion/silkroad/user/81b5b10236",N/A,N/A,N/A,135 (0.258 per day),+5/-4
TheMajor,38736,d184d940fd,2012/10/20 05:20,2013/03/15 03:11,"SR VENDOR PROFILE - MjrPlayer

http://silkroadvb5piz3r.onion/index.php/silkroad/user/d184d940fd",N/A,N/A,N/A,51 (0.144 per day),+6/-3
chronicpain,265,N/A,2011/06/19 03:26,2013/02/11 02:22,N/A,Pain Free!,N/A,Finland,1211 (1.438 per day),+32/-9
CocaineFlakes,49400,c5e3e48bad,2013/01/08 20:24,2013/05/15 22:14,"SR Vendoraccount : http://silkroadvb5piz3r.onion/silkroad/user/c5e3e48bad
CocaineFlakes Review Thread 
http://dkn255hz262ypmii.onion/index.php?topic=117967.0
CocaineFlakes, Yes he can !",Yes i Can !,N/A,N/A,496 (1.817 per day),+11/-47
Alakazam Alprazolam,70239,48e7d9d81f,2013/05/16 04:19,N/A,http://silkroadvb5piz3r.onion/silkroad/user/48e7d9d81f,N/A,N/A,N/A,61 (0.421 per day),+0/-0
azura540,2484,06fef3df91,2011/08/24 13:21,2013/09/11 20:29,http://silkroadvb5piz3r.onion/index.php/silkroad/user/06fef3df91,N/A,N/A,N/A,8 (0.010 per day),+2/-0
pathenry76,28301,d226862c6f,2012/07/27 04:21,2013/10/07 03:43,"pathenry76 vendor page:

http://silkroadvb5piz3r.onion/silkroad/user/d226862c6f",N/A,N/A,N/A,168 (0.384 per day),+16/-1
MrYellow,16691,N/A,2012/04/06 20:32,2012/08/29 16:54,Dream As if you'll live Forever,N/A,N/A,N/A,76 (0.138 per day),+4/-6
lucidmatrix,33671,abdd2e9413,2012/09/07 20:30,2013/04/12 01:28,"Vendor Page (psychedelics) - 
http://silkroadvb5piz3r.onion/index.php/silkroad/user/abdd2e9413",N/A,N/A,N/A,78 (0.197 per day),+3/-0
dutchsolutions,78649,70a5321ac6,2013/07/11 17:21,2013/08/21 22:11,"Looking for high quality pharmaceutical products

http://silkroadvb5piz3r.onion/silkroad/user/70a5321ac6

There is always a solution",There is always a solution,N/A,N/A,1 (0.011 per day),+0/-0
HardHustle,20895,df2dc41a13,2012/05/17 04:05,2012/12/10 03:17,My Vendor Page: http://silkroadvb5piz3r.onion/silkroad/user/df2dc41a13,N-BOOM!,N/A,N/A,556 (1.092 per day),+39/-49
HumboldtsFinest,16114,5ea57f2de4,2012/04/01 02:43,2013/10/07 05:02,http://silkroadvb5piz3r.onion/silkroad/user/5ea57f2de4,N/A,N/A,N/A,71 (0.128 per day),+6/-1
mseller,585,d5602c41b7,2011/06/22 14:25,N/A,"http://silkroadvb5piz3r.onion/silkroad/user/d5602c41b7

Offer: Methadone in the pure powder form, cheap affordable prices.
Rare form to find anywhere in the market!",N/A,N/A,N/A,599 (0.714 per day),+10/-7
fitness_n_herb,5853,695a6e259a/,2011/11/22 00:35,2013/09/03 13:05,"Don't Worry. Be Happy. Every little thing is gonna be alright.

[ Seller Profile, Check it out! ]
http://silkroadvb5piz3r.onion/silkroad/user/695a6e259a/

Safe Shipping. Clean Packaging. Protecting my customers to protect myself! 
Encrypt your HDD's everyone!",Endorphins and Trees meets all my needs.,N/A,Here,313 (0.456 per day),+21/-9
☼LightOfPi☼,73270,b487aa3ec2,2013/06/05 21:32,2013/10/01 19:53,"☼☼☼ Interested in high quality LSD?! I'm sending liquid and blotters fast 
and stealthy from Western Europe  ☼☼☼

SR: http://silkroadvb5piz3r.onion/silkroad/user/b487aa3ec2
Reviews: http://dkn255hz262ypmii.onion/index.php?topic=171891.0

 ☼☼☼ LightofPi ☼☼☼",N/A,N/A,Europe,181 (1.448 per day),+11/-4
EphedPho,69423,03feca9024,2013/05/10 21:43,2013/10/03 05:10,http://silkroadvb5piz3r.onion/silkroad/user/03feca9024,N/A,N/A,N/A,13 (0.086 per day),+0/-0
Kara,6400,54a1d31b03,2011/12/04 12:57,N/A,My SR Vendor page: http://silkroadvb5piz3r.onion/silkroad/user/54a1d31b03,N/A,N/A,N/A,142 (0.211 per day),+10/-5
TheDreamatorium,66024,f980f4868d,2013/04/25 03:04,2013/10/03 22:37,SR Vendor - http://silkroadvb5piz3r.onion/silkroad/user/f980f4868d,N/A,N/A,N/A,89 (0.536 per day),+5/-3
knicknack,15972,N/A,2012/03/30 16:10,2013/08/31 18:08,"Listing here
silkroadvb5piz3r.onion/silkroad/item/fdd8f1adc4
Knicknack gets your patty whacked.",Pour it like it's Hemingway's last call.,N/A,N/A,212 (0.381 per day),+29/-0
WeBeWeedGirls,69226,448f6e9f5b,2013/05/09 17:10,2013/10/02 11:15,"Good honest weed, just like Mama used to grow.

Vendor page: http://silkroadvb5piz3r.onion/silkroad/user/448f6e9f5b

Review thread: 
http://dkn255hz262ypmii.onion/index.php?topic=162472.msg1155407",N/A,N/A,N/A,66 (0.434 per day),+4/-1
hmdd,22052,677e98bf90,2012/05/30 00:55,2013/08/21 14:26,"Vendor Page:
http://silkroadvb5piz3r.onion/silkroad/user/677e98bf90",We are Anonymous. We are Legion. We do not forgive,N/A,Paradise City,70 (0.141 per day),+0/-0
CrystalBurns,21100,7432c3f8e0,2012/05/19 03:19,2013/10/07 04:38,http://silkroadvb5piz3r.onion/silkroad/user/7432c3f8e0,N/A,N/A,Australia,62 (0.122 per day),+5/-4
Vatican,57147,N/A,2013/03/02 18:31,N/A,"DMT on BMR - 
http://5onwnspjvuk7cwvk.onion/index.php?p=viewUserListings&id=297811
Public key - 
http://dkn255hz262ypmii.onion/index.php?topic=174.msg891831#msg891831
Reviews - http://dkn255hz262ypmii.onion/index.php?topic=129180.0",N/A,N/A,N/A,157 (0.714 per day),+13/-3
bbhc52,62619,N/A,2013/04/07 03:51,2013/06/17 08:23,"We are a High Grade Spice Vendor With Great Prices & Quality Product Check 
Us Out Here!
silkroadvb5piz3r.onion/silkroad/user/d5fb486315

Official Review Thread - 
http://dkn255hz262ypmii.onion/index.php?topic=148330.0

Contact Us Via Tor Chat
Sales01 - ixszjfpbmotmkafp
Sales02 - pyxfj5kjpadwghuv",SCOOBY DOOBY DOO,N/A,N/A,186 (1.011 per day),+13/-16
Deadhead777,17648,616fd3d32d,2012/04/16 22:22,2012/12/10 18:38,"The Fastest Domestic Heroin Vendor Ever! With Decent Prices too! You will 
always receive your product within 3 business days of ordering! You will 
NEVER BE DISAPPOINTED IN MY SERVICE EVER! China White Available right now! 
http://silkroadvb5piz3r.onion/silkroad/user/616fd3d32d",N/A,N/A,N/A,81 (0.150 per day),+2/-11
AceDrugs,46074,N/A,2012/12/13 22:43,2013/10/06 19:08,N/A,N/A,N/A,N/A,33 (0.111 per day),+2/-5
Aidoneus,32427,N/A,2012/08/28 07:40,N/A,"SR Thread: http://dkn255hz262ypmii.onion/index.php?topic=39154.0

PGP: http://dkn255hz262ypmii.onion/index.php?topic=39317.msg577500#msg577500

Sheep: 
http://sheep5u64fi457aw.onion/account/profile/1b36b2b7e072aff9aef608dfd4b70186

BMR: http://5onwnspjvuk7cwvk.onion/index.php?p=viewUser&id=119049",N/A,N/A,N/A,491 (1.209 per day),+20/-7
xpsbud,50706,0fbd9bf71a,2013/01/16 23:22,2013/10/01 21:20,Vendor account - http://silkroadvb5piz3r.onion/silkroad/user/0fbd9bf71a,N/A,N/A,N/A,146 (0.553 per day),+23/-3
Cork1Screw,74921,11e4008097,2013/06/15 11:10,2013/10/02 08:37,"AAA Weed, Prerolled joints, and Cocaine:
http://silkroadvb5piz3r.onion/silkroad/user/11e4008097",AAA Bud Vendor,N/A,USA,143 (1.243 per day),+25/-4
rinran,17748,84b3c02452,2012/04/17 23:29,2013/10/04 15:25,"Visit our shop at http://silkroadvb5piz3r.onion/silkroad/user/84b3c02452

We will be doing occasional random free things included with orders - great 
reviews and being a good buyer will give you more chances of winning!",N/A,N/A,N/A,85 (0.158 per day),+4/-1
lucymcgee,68953,41a5785616,2013/05/08 01:40,2013/08/21 02:57,http://silkroadvb5piz3r.onion/silkroad/user/41a5785616,N/A,N/A,N/A,1 (0.007 per day),+0/-0
Christy Nugs,6351,4651f1115c,2011/12/03 09:10,2013/10/02 02:20,"http://silkroadvb5piz3r.onion/index.php/silkroad/user/4651f1115c

Just say no to GMO's - label all food that has gmo's in it and let the 
people decide!!!! 
Stop killing us with your poison !!!
http://www.responsibletechnology.org/",Peace Out!!,N/A,N/A,1652 (2.447 per day),+202/-115
Homegrizzle,86608,98faa6d692,2013/08/19 13:58,2013/08/20 08:03,"See my wares here

http://silkroadvb5piz3r.onion/silkroad/user/98faa6d692",Just a weed grower,N/A,Uk,0 (0 per day),+0/-0
Talk to Frank,65274,83b5557e44,2013/04/21 11:05,2013/07/22 21:51,"Vendor Page: http://silkroadvb5piz3r.onion/silkroad/user/83b5557e44

Review Thread: http://dkn255hz262ypmii.onion/index.php?topic=152788.0

In stock:              200mg MDMA capsules [Disintegration]",SR Vendor,N/A,UK,83 (0.488 per day),+4/-1
budsupplies,18317,bc1602d49e,2012/04/22 12:06,2013/09/19 09:15,http://silkroadvb5piz3r.onion/silkroad/user/bc1602d49e,N/A,N/A,N/A,56 (0.105 per day),+4/-0
VeXterX,58447,f0b6768ee0,2013/03/15 05:07,2013/07/19 06:28,"VeXterX - Bringing you the Best in Dex!
http://silkroadvb5piz3r.onion/index.php/silkroad/user/f0b6768ee0",N/A,N/A,Australia,58 (0.280 per day),+1/-0
TheEmporium,9026,124951,2012/01/18 22:32,2012/06/25 21:57,"http://silkroadvb5piz3r.onion/index.php/silkroad/user/124951

Quality All The Way

LSD, MDMA, MDPV, Methylone, MXE, Butylone AMT (HCL & FEEEBASE), Valium, 
Ambien, Xanax, Mogadon, Ativan

Can do you custom orders, try our Ye Olde Emporium Funtime MDMA/2CB Caps, 
Custom orders only though","Purity > Profit, just feeding my habit baby :))",N/A,N/A,108 (0.172 per day),+8/-4
